Stream,Year,ChannelTY,Species,CK_popEst,CK_popSE,CK_pCapture,CK_pCaptureSE,CK_FishperM,CK_FishperM_SE
Bohannon Creek,2016,Step-Pool_4,Steelhead,821.43,202.14,0.1522,0.0374,0.279588155,0.068801906
Bohannon Creek,2016,Step-Pool_5,Steelhead,525.96,322.07,0.1293,0.0792,0.179202726,0.109734242
Canyon Creek,2016,Pool-Riffle_1,Steelhead,587.81,87.5,0.2909,0.0433,0.163553144,0.024346132
Canyon Creek,2016,Pool-Riffle_2,Steelhead,1771.47,141.02,0.2924,0.0233,0.396656964,0.031576355
Canyon Creek,2016,Pool-Riffle_3,Steelhead,191.96,33.3,0.5053,0.0877,0.360150094,0.062476548
Canyon Creek,2016,Pool-Riffle_4,Steelhead,327.6,95.02,0.1587,0.046,0.122193211,0.035441999
Hawley Creek,2016,Plane-Bed_1,Steelhead,76,26.87,0.25,0.0884,0.022300469,0.00788439
Hawley Creek,2016,Plane-Bed_2,Steelhead,130.2,50.82,0.2381,0.0929,0.035848018,0.013992291
Hawley Creek,2016,Pool-Riffle_3,Steelhead,2142.28,171.94,0.2978,0.0239,0.595905424,0.047827538
Hawley Creek,2016,Pool-Riffle_4,Steelhead,132,88.99,0.0909,0.0613,0.083385976,0.056216045
Hawley Creek,2016,Plane-Bed_5,Steelhead,110.25,49.6,0.1905,0.0857,0.211612284,0.095201536
Hayden Creek,2016,Island_Braided_1,Steelhead,2599.68,397.93,0.1331,0.0204,0.999492503,0.152991157
Hayden Creek,2016,Island_Braided_2,Steelhead,1498.64,123.29,0.3029,0.0249,0.449367316,0.036968516
Hayden Creek,2016,Confined_3,Steelhead,460.82,67.24,0.2973,0.0434,0.279793564,0.040825744
Hayden Creek,2016,Pool-Riffle_4,Steelhead,525,90.57,0.2857,0.0493,0.345394737,0.059585526
Hayden Creek,2016,Island_Braided_1,Chinook,2972.45,869.76,0.0582,0.017,1.142810458,0.334394464
Hayden Creek,2016,Island_Braided_2,Chinook,3356.3,424.28,0.1371,0.0173,1.006386807,0.12722039
Hayden Creek,2016,Confined_3,Chinook,707,146.15,0.1881,0.0389,0.429265331,0.088737098
Hayden Creek,2016,Pool-Riffle_4,Chinook,1447.81,335.35,0.1416,0.0328,0.952506579,0.220625
Kenney Creek,2016,Plane-Bed_1,Steelhead,1888.21,279.04,0.1483,0.0219,0.521604972,0.077082873
Kenney Creek,2016,Pool-Riffle_2,Steelhead,1118,145.4,0.2558,0.0333,0.224497992,0.029196787
Lee Creek,2016,Pool-Riffle_1,Steelhead,195.28,19.54,0.6094,0.061,0.148614916,0.014870624
