PITTagID,Species,Rear,MarkLength,MarkStream,RecapStream,MarkDate,RecapDate,DaystoRecap,Mark,Recapture,Distance,Direction
384.3B2397C18D,Steelhead,W,127,Hayden Creek,Hayden Creek,9/12/2013,9/16/2013,4,64894.56705,64914.09118,19.5241376,Upstream
384.3B23979747,Steelhead,W,242,Bohannon Creek,Bohannon Creek,9/25/2013,9/27/2013,2,22718.80756,22738.22602,19.4184639,Upstream
3D9.1C2D70D265,Steelhead,W,151,Wimpey Creek,Wimpey Creek,8/4/2013,8/5/2013,1,20847.82674,20867.17059,19.3438415,Upstream
384.3B2397F512,Steelhead,W,110,Hawley Creek,Hawley Creek,8/16/2013,8/18/2013,2,120593.1339,120573.7988,19.335093,Downstream
384.3B239875AE,Steelhead,W,130,Hawley Creek,Hawley Creek,8/15/2013,8/18/2013,3,118508.0236,118488.7652,19.258444,Downstream
384.3B23982FC1,Steelhead,W,98,Bohannon Creek,Bohannon Creek,9/29/2013,10/1/2013,2,26943.93424,26963.03491,19.1006671,Upstream
384.3B23988330,Chinook,W,72,Hayden Creek,Hayden Creek,9/13/2013,9/17/2013,4,61299.03314,61318.1136,19.0804548,Upstream
384.3B2396FAEA,Steelhead,W,125,Hayden Creek,Hayden Creek,9/14/2013,9/18/2013,4,59443.47661,59462.3724,18.8957857,Upstream
384.3B2398254B,Steelhead,W,107,Hayden Creek,Hayden Creek,9/13/2013,9/17/2013,4,61697.9047,61679.07364,18.8310592,Downstream
3DD.00773A7EE8,Steelhead,W,114,Bohannon Creek,Bohannon Creek,6/20/2013,6/22/2013,2,19186.29259,19204.66993,18.3773397,Upstream
384.3B239862D9,Steelhead,W,180,East Fork Bohannon Creek,East Fork Bohannon Creek,9/26/2013,9/28/2013,2,25098.25533,25079.97686,18.278474,Downstream
384.3B23981EEC,Steelhead,W,195,Hawley Creek,Hawley Creek,8/15/2013,8/18/2013,3,118308.7432,118290.4695,18.273618,Downstream
384.3B2397F9E5,Steelhead,W,133,Hayden Creek,Hayden Creek,9/14/2013,9/18/2013,4,58530.1054,58548.36718,18.2617844,Upstream
384.3B239859AC,Steelhead,W,136,Hayden Creek,Hayden Creek,9/14/2013,9/18/2013,4,58039.66735,58057.86759,18.20024,Upstream
384.3B2398C531,Steelhead,W,121,Hayden Creek,Hayden Creek,9/13/2013,9/17/2013,4,61788.9057,61770.76821,18.137486,Downstream
384.3B239865F0,Steelhead,W,115,Bohannon Creek,Bohannon Creek,9/29/2013,10/1/2013,2,26335.47642,26317.43716,18.0392654,Downstream
384.3B239786AA,Steelhead,W,194,East Fork Bohannon Creek,East Fork Bohannon Creek,9/26/2013,9/28/2013,2,26430.62925,26448.66322,18.0339776,Upstream
3DD.00773A7EAE,Steelhead,W,108,Kenney Creek,Kenney Creek,7/31/2013,8/3/2013,3,34350.90299,34368.86927,17.9662785,Upstream
3D9.1C2D708D83,Steelhead,W,75,Wimpey Creek,Wimpey Creek,8/3/2013,8/8/2013,5,25653.45834,25671.40908,17.9507486,Upstream
3D9.1C2D57ADED,Steelhead,W,146,Hayden Creek,Hayden Creek,9/13/2013,9/17/2013,4,61592.00376,61609.95445,17.9506896,Upstream
384.3B2397966A,Steelhead,W,196,Big Timber Creek,Big Timber Creek,8/30/2013,9/2/2013,3,117412.0137,117429.9535,17.939844,Upstream
384.3B239791CC,Steelhead,W,107,Bohannon Creek,Bohannon Creek,9/25/2013,9/27/2013,2,22961.18614,22979.11234,17.9261943,Upstream
3D9.1C2D70E3AA,Steelhead,W,81,Wimpey Creek,Wimpey Creek,8/4/2013,8/5/2013,1,21011.38295,21029.29615,17.9132033,Upstream
3D9.1C2D70B1FD,Steelhead,W,161,Wimpey Creek,Wimpey Creek,8/4/2013,8/5/2013,1,20852.63598,20870.49984,17.8638555,Upstream
384.3B23977128,Steelhead,W,102,Bohannon Creek,Bohannon Creek,9/29/2013,10/1/2013,2,26345.00411,26327.15722,17.8468966,Downstream
384.3B23989FAE,Steelhead,W,184,Big Timber Creek,Big Timber Creek,8/29/2013,9/1/2013,3,110790.2519,110772.7046,17.547309,Downstream
3D9.1C2D570BE3,Steelhead,W,96,Hawley Creek,Hawley Creek,8/16/2013,8/18/2013,2,118235.2294,118217.7554,17.474032,Downstream
